timestamp,message,logStreamName
1770026147151,"INIT_START Runtime Version: python:3.12.v102	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:e7b9763d75065b03bd2f1c073b67ce436566c24009faa1c13d7389d7ba98f259
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026147636,"START RequestId: a5d4d8dc-d153-566d-917a-b926a7b1cc52 Version: $LATEST
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026147637,"Processing 10 records
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026147795,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026147832,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026147855,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026147872,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026147892,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026147932,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026147952,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026147972,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026148012,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026148037,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026148037,"Processing complete: {'processed': 0, 'failed': 10, 'alerts_triggered': 0}
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026148053,"END RequestId: a5d4d8dc-d153-566d-917a-b926a7b1cc52
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026148053,"REPORT RequestId: a5d4d8dc-d153-566d-917a-b926a7b1cc52	Duration: 416.51 ms	Billed Duration: 898 ms	Memory Size: 256 MB	Max Memory Used: 89 MB	Init Duration: 480.68 ms	
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026167004,"START RequestId: 7ba54442-1ecf-5507-af1f-25b8682d4492 Version: $LATEST
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026167005,"Processing 3 records
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026167014,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026167122,"INIT_START Runtime Version: python:3.12.v102	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:e7b9763d75065b03bd2f1c073b67ce436566c24009faa1c13d7389d7ba98f259
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026167134,"Alert notification sent: 1 alerts
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026167135,"DynamoDB error: Float types are not supported. Use Decimal types instead.
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026167150,"INIT_START Runtime Version: python:3.12.v102	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:e7b9763d75065b03bd2f1c073b67ce436566c24009faa1c13d7389d7ba98f259
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167152,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026167152,"Processing complete: {'processed': 0, 'failed': 3, 'alerts_triggered': 1}
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026167164,"INIT_START Runtime Version: python:3.12.v102	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:e7b9763d75065b03bd2f1c073b67ce436566c24009faa1c13d7389d7ba98f259
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026167172,"END RequestId: 7ba54442-1ecf-5507-af1f-25b8682d4492
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026167172,"REPORT RequestId: 7ba54442-1ecf-5507-af1f-25b8682d4492	Duration: 167.40 ms	Billed Duration: 168 ms	Memory Size: 256 MB	Max Memory Used: 89 MB	
",2026/02/02/[$LATEST]d19d785563294094b1d00a2524a789ec
1770026167600,"START RequestId: 21f7ffe7-2181-5da7-88e6-9e1d57632a7f Version: $LATEST
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167601,"Processing 7 records
",2026/02/02/[$LATEST]f47b12f45f0249a5bfa4a3aab68e8a06
1770026167601,"START RequestId: f4b32d04-93a5-5135-ae0d-4cfee547a511 Version: $LATEST
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
